SettlementDate,SettlementPeriod,StartTime,CreatedDateTime,Price,NetImbalanceVolume
2024-09-09,3,2024-09-09T00:00:00Z,2024-09-10T00:44:18Z,45.32,-140.64166666666668
2024-09-09,4,2024-09-09T00:30:00Z,2024-09-10T01:14:22Z,60.12,-5.233333333333333
2024-09-09,5,2024-09-09T01:00:00Z,2024-09-10T01:44:20Z,102.5,19.522222222222226
2024-09-09,6,2024-09-09T01:30:00Z,2024-09-10T02:14:30Z,49.44,-87.35833333333333
2024-09-09,7,2024-09-09T02:00:00Z,2024-09-10T02:44:17Z,104.0,263.65833333333336
2024-09-09,8,2024-09-09T02:30:00Z,2024-09-10T03:14:22Z,102.5,77.30424833333333
2024-09-09,9,2024-09-09T03:00:00Z,2024-09-10T03:44:20Z,53.97,-19.86666361111111
2024-09-09,10,2024-09-09T03:30:00Z,2024-09-10T04:14:22Z,53.97,-20.398333333333333
2024-09-09,11,2024-09-09T04:00:00Z,2024-09-10T04:44:23Z,52.12,-194.1642857142857
2024-09-09,12,2024-09-09T04:30:00Z,2024-09-10T05:14:19Z,52.45,-134.27026337301587
2024-09-09,13,2024-09-09T05:00:00Z,2024-09-10T05:44:18Z,103.0,16.60902777777778
2024-09-09,14,2024-09-09T05:30:00Z,2024-09-10T06:14:22Z,58.0,-45.14110763888889
2024-09-09,15,2024-09-09T06:00:00Z,2024-09-10T06:44:23Z,65.01,-5.1470416666666665
2024-09-09,16,2024-09-09T06:30:00Z,2024-09-10T07:14:21Z,119.48,263.00854444444445
2024-09-09,17,2024-09-09T07:00:00Z,2024-09-10T07:44:18Z,125.15,543.2739139551768
2024-09-09,18,2024-09-09T07:30:00Z,2024-09-10T08:14:24Z,119.58,223.80278229166663
2024-09-09,19,2024-09-09T08:00:00Z,2024-09-10T08:44:17Z,104.0,150.23992212301587
2024-09-09,20,2024-09-09T08:30:00Z,2024-09-10T09:14:21Z,103.5,94.3534539814815
2024-09-09,21,2024-09-09T09:00:00Z,2024-09-10T09:44:26Z,103.5,288.3267578347578
2024-09-09,22,2024-09-09T09:30:00Z,2024-09-10T10:14:21Z,65.5,-13.5309126984127
2024-09-09,23,2024-09-09T10:00:00Z,2024-09-10T10:44:22Z,59.0,-226.92912762017585
2024-09-09,24,2024-09-09T10:30:00Z,2024-09-10T11:14:17Z,59.0,-284.1338113095238
2024-09-09,25,2024-09-09T11:00:00Z,2024-09-10T11:44:23Z,55.0,-145.40921925296925
2024-09-09,26,2024-09-09T11:30:00Z,2024-09-10T12:14:21Z,10.0,-532.5194444444444
2024-09-09,27,2024-09-09T12:00:00Z,2024-09-10T12:44:17Z,1.75,-416.85833333333335
2024-09-09,28,2024-09-09T12:30:00Z,2024-09-10T13:14:21Z,1.75,-415.63373015873015
2024-09-09,29,2024-09-09T13:00:00Z,2024-09-10T13:44:30Z,91.0,229.3098373015873
2024-09-09,30,2024-09-09T13:30:00Z,2024-09-10T14:14:22Z,103.5,387.04675
2024-09-09,31,2024-09-09T14:00:00Z,2024-09-10T14:44:24Z,100.0,301.23966666666666
2024-09-09,32,2024-09-09T14:30:00Z,2024-09-10T15:14:18Z,104.0,604.8027060019841
2024-09-09,33,2024-09-09T15:00:00Z,2024-09-10T15:44:24Z,105.0,540.4345496235246
2024-09-09,34,2024-09-09T15:30:00Z,2024-09-10T16:14:21Z,130.0,574.1531438798702
2024-09-09,35,2024-09-09T16:00:00Z,2024-09-10T16:44:23Z,118.8,60.139633485449735
2024-09-09,36,2024-09-09T16:30:00Z,2024-09-10T17:14:25Z,60.0,-179.34734286044974
2024-09-09,37,2024-09-09T17:00:00Z,2024-09-10T17:44:24Z,60.0,-260.32409970698814
2024-09-09,38,2024-09-09T17:30:00Z,2024-09-10T18:14:20Z,61.11,-61.98292083333333
2024-09-09,39,2024-09-09T18:00:00Z,2024-09-10T18:44:20Z,61.0,-153.81768654761905
2024-09-09,40,2024-09-09T18:30:00Z,2024-09-10T19:14:27Z,59.0,-296.3557113333464
2024-09-09,41,2024-09-09T19:00:00Z,2024-09-10T19:44:21Z,0.0,-507.55759001984126
2024-09-09,42,2024-09-09T19:30:00Z,2024-09-10T20:14:21Z,12.0,-192.6090566359265
2024-09-09,43,2024-09-09T20:00:00Z,2024-09-10T20:44:20Z,90.9,0.8936743029100528
2024-09-09,44,2024-09-09T20:30:00Z,2024-09-10T21:14:19Z,51.0,-171.18212506795635
2024-09-09,45,2024-09-09T21:00:00Z,2024-09-10T21:44:23Z,104.0,130.346367010582
2024-09-09,46,2024-09-09T21:30:00Z,2024-09-10T22:14:24Z,104.0,174.5446164021164
2024-09-09,47,2024-09-09T22:00:00Z,2024-09-10T22:44:22Z,109.0,686.2586706349207
2024-09-09,48,2024-09-09T22:30:00Z,2024-09-10T23:14:24Z,105.0,478.601533
2024-09-10,1,2024-09-09T23:00:00Z,2024-09-10T23:44:19Z,105.0,667.6302342908695
2024-09-10,2,2024-09-09T23:30:00Z,2024-09-11T00:14:22Z,104.0,173.50844450392003
2024-09-10,3,2024-09-10T00:00:00Z,2024-09-11T00:44:24Z,104.0,323.1346529398148
